STATION ID,STATION,NAME OF STATION,Latitude,Longitude
46807982,CHAKRATA,AIS-CRTA,30.7047,77.8622
468087D4,LAKHAMANDAL,AQI-LMDL,30.7319,78.0739
46808906,KALSI ,AQI-KLSI,30.5386,77.8519
468094A2,NAGTHAT,AQI-NGTH,30.3811,78.0236
46809A70,KOTI,AQI-KOTI,30.645,77.8542
4680A138,VIKAS NAGAR,AWI-VNGR,30.4678,77.7758
4680AFEA,SAHASPUR,AQI-SPUR,30.3936,77.8128
4680B24E,ASHARORI,AWI-AHRI,30.2494,77.9808
4680BC9C,UTT. TECH. UNI.,AWI-UTU,30.3247,78.0311
46859362,UCOST,AQI-UCST,30.3369,77.92
4680ECE0,RAIWALA,AQI-RWLA,30.0136,78.1908
46828220,UKHIMATH,AQI-UMTH,30.5181,79.0997
46828CF2,KEDARNATH,AQI-KNTH,30.7361,79.0678
46829156,KEDARNATH,AIS-KNTH,30.7361,79.0678
46829F84,SONEPRAYAG,AQI-SPRG,30.6358,78.9994
4682A4CC,DUGALBITTA,AQI-DGBT,30.3536,79.0408
4682B7BA,AGASTYAMUNI,AQI-AMNI,30.3892,79.0225
4682B968,JAKHOLI,AQI-JKNI,30.17,78.3428
4682C12A,RUDRAPRAYAG,AQI-RPYG,30.2856,78.9844
4682CFF8,CHOPTA,AIS-CHPT,30.3536,79.0408
468001C0,MORI ,AQI-MORI,31.0214,78.0467
46800F12,SANKRI,AQI-SKRI,31.1506,78.4353
468012B6,NAITWAR,AQI-NWAR,31.07,78.1
46801C64,RAJGARHI,AQI-RGRI,30.8397,78.2408
468029FE,GANGOTRI,AQI-GTRI,30.9933,78.9403
4680345A,GANGOTRI,AIS-GTRI,30.9933,78.9403
46803A88,HARSIL ,AQI-HSIL,31.0372,78.7544
468042CA,HARSIL ,AIS-HSIL,31.0372,78.7544
46804C18,CHINYALISAUR,AQI-CSOR,30.5767,78.3297
468051BC,NAUGAON,AQI-NGAO,30.7869,78.1383
46805F6E,JAN KI CHATTI,AQI-JCTI,30.9775,78.4408
4680272C,JAN KI CHATTI,AIS-JCTI,30.9775,78.4408
46806426,DUNDA,AQI-DNDA,30.7047,78.3483
46806AF4,BARKOT,AQI-BKOT,30.8108,78.2133
46820434,BADRINATH,AQI-BNTH,30.7447,79.4922
46820AE6,BADRINATH,AIS-BNTH,30.7447,79.4922
46821742,PANDUKESHWAR,AQI-PKWR,30.6247,79.5558
46821990,MANA,AWI-MANA,30.7694,79.4944
468222D8,TAPOVAN,AQI-TVAN,30.4928,79.6314
468231AE,GHANGARIYA,AQI-GNRY,30.7019,79.5933
46823F7C,GHANGARIYA,AIS-GNRY,30.7019,79.5933
4682473E,AULI,AQI-AULI,30.5361,79.5711
468249EC,AULI,AIS-AULI,30.5361,79.5711
46825448,KARNAPRAYAG,AQI-KAPY,30.2589,79.2178
46825A9A,GOCHAR,AQI-GCAR,30.2919,79.1561
468261D2,POKHARI,AQI-PKRI,30.3439,79.2092
46826F00,GHAT,AQI-GHAT,30.2561,79.4542
468272A4,DEWAL,AQI-GWDM,30.0756,79.4817
46827C76,THARALI,AQI-TRLI,30.1503,79.4086
46832EF0,BAGESHWAR,AQI-BGWR,29.8381,79.7642
46833354,KANDA,AQI-KNDA,29.9708,79.9794
46833D86,GARUD,AQI-GRUD,29.8961,79.6133
468345C4,KOSANI,AQI-KSNI,29.8511,79.5939
46834B16,KOSANI,AIS-KSNI,29.8511,79.5939
468356B2,DANGOLI,AWI-DGLI,29.9789,79.52
46835860,SHAMA,AQI-SHMA,29.9744,80.0475
46836328,SONG,AQI-SONG,30.0389,79.9517
46836DFA,LITI,AWI-LITI,29.9786,80.0286
4683BB92,CHAMPAWAT,AQI-CPWT,29.3353,80.0914
4683C3D0,TANAKPUR,AQI-TNKP,29.0731,80.1117
4683CD02,BASTIA,AWI-BSTA,29.1375,80.2
4683D0A6,BANBASA,AWI-BNBS,29.0544,80.1247
4683DE74,CHALTHI,AQI-CLTI,29.1972,80.0897
4683E53C,PATI ,AQI-PATI,29.4042,79.9372
4683EBEE,DEVIDHURA,AQI-DVDR,29.4122,79.8653
4683F64A,LOHAGHAT,AQI-LHGT,29.4122,79.8653
4683F898,LOHAGHAT,AIS-LHGT,29.4122,79.8653
468404FA,PANCHESHWAR,AQI-PNWR,29.4467,80.2428
4683705E,BHIMTAL,AWI-BMTL,29.3422,79.5639
46837E8C,NAINITAL,AQI-NATL,29.3869,79.4519
468380DA,BETALGHAT,AQI-BTGT,29.5525,79.3531
468393AC,RAMNAGAR,AQI-RMNG,29.3958,79.1353
46839D7E,HALDWANI,AQI-HLWN,29.2125,79.5319
4683A636,KALADHUNGI,AQI-KDGI,29.3289,79.5094
4683A8E4,CHORGALIA,AWI-CRGL,29.1236,79.7014
4683B540,MUKTESHWAR,AIS-MKTS,29.4775,79.6508
46847CB8,BAJPUR,AQI-BJPR,29.1347,79.1217
468482EE,KHATIMA,AQI-KHTM,28.8828,79.9208
46849198,KICHHA,AWI-KCHA,28.9089,79.5094
46849F4A,KASHIPUR,AQI-KSPR,29.2106,78.9614
4684A402,SULTANPUR PATTI,AWI-STPR,29.2106,78.9614
4684AAD0,GADARPUR,AWI-GDPR,29.0414,79.2475
4684B774,GULAR BHOJ,AWI-GRBJ,29.0414,79.2475
46812B04,PAURI,AQI-PORI,30.1528,78.7692
468136A0,PARPUNDA KHAL,AQI-PRKL,30.1136,78.6806
46813872,SATPULI,AQI-SPLI,29.9183,78.71
46814030,SRINAGAR,AQI-SRIN,30.2236,78.7883
4680D97A,RISHIKESH (NEELKANTH) ,AQI-NKNT,30.0811,78.3408
46814EE2,NAINIDANDA,AQI-NDDA,29.7383,79.0133
46815346,KOTDWAR,AQI-KWAR,29.7542,78.5222
468166DC,YAMKESHWAR,AQI-YWAR,29.9775,78.4186
4681680E,LALDHANG,AQI-LALD,29.8514,78.3156
468175AA,THAILISAIN,AQI-TSAN,30.0206,79.0478
46817B78,BHARSAR,AIS-BSAR,30.0597,78.9964
4681852E,RIKHNIKHAL,AQI-RKHL,29.7722,78.8733
46818BFC,SYUNSI ,AQI-SYSI,29.8928,79.0256
46819658,LANSDOWN,AQI-LDWN,29.8394,78.6858
4680F144,RANI MAZRA,AWI-RMZA,29.8228,78.1442
4680FF96,CHANDI DEVI (HARIDWAR),AWI-CDVI,29.9336,78.1817
4681033A,NARSAN,AQI-NARS,29.7872,77.8567
46810DE8,BHAGWANPUR ,AQI-BPUR,29.8044,77.9108
4681104C,KHANPUR,AQI-KPUR,29.6528,78.025
46811E9E,LAKSAR,AQI-LSAR,29.7503,78.0231
468125D6,NIRANJANPUR,AWI-NPUR,29.6983,78.1089
4681988A,BUDHA KEDAR,AWI-BKDR,30.5789,78.6481
4681A3C2,LATA,AQI-LATA,30.4803,78.6294
4681AD10,CHAMBA,AWI-CHBA,30.3467,78.3972
4681B0B4,KANATAL,AQI-KTAL,30.4169,78.3214
4681BE66,DHANOLTI,AQI-DLTI,30.4244,78.2469
4681C624,DHANOLTI,AIS-DLTI,30.4244,78.2469
4681C8F6,NAINBAGH,AQI-NBGH,30.5658,78.0078
4681D552,JAKHNIDHAR,AWI-JDHR,30.3344,78.5119
4681DB80,CHANDRA BADNI,AQI-CBNI,30.2939,78.6111
4681E0C8,PRATAPNAGAR,AWI-PNGR,30.455,78.4906
4681EE1A,MUKHIM,AQI-MKIM,30.5767,78.4708
4681F3BE,NARENDRA NAGAR ,AQI-NNGR,30.2128,78.3267
4681FD6C,KIRTINAGAR,AQI-KNGR,30.215,78.7472
46858014,NEW TEHRI,AQI-NTHR,30.3794,78.4364
4682D25C,BHAINSIYA CHHANA ,AQI-BSYC,29.7,79.8825
4682DC8E,CHAUKHUTIYA,AQI-CKTY,29.8842,79.35
4682E7C6,DWARHAT,AQI-DWHT,29.7794,79.4314
4682E914,JAGESHWAR,AQI-JGWR,29.6381,79.8525
4682F4B0,TAKULA ,AQI-TKLA,29.7336,79.7022
4682FA62,JAINTI ,AQI-JNTI,29.4814,79.8375
468306CE,BHIKIYASAIN,AQI-BKSN,29.6964,79.2692
4683081C,MASI,AWI-MASI,29.8247,79.2858
468315B8,SITLAKHET,AQI-STKT,29.5939,79.5442
46831B6A,SULT,AQI-SULT,29.6892,79.1581
46832022,ALMORA,AQI-ALMR,29.6,79.665
4684178C,THAL,AWI-THAL,29.8261,80.1408
4684195E,BERINAG,AWI-BRNG,29.7797,80.0572
46842216,GANGOLIHAT,AQI-GGHT,29.6575,80.0422
46842CC4,DHARCHULA,AQI-DRCL,29.85,80.5447
46843160,TAWAGHAT,AWI-TWGT,29.9589,80.5989
46843FB2,NARAYAN ASHRAM,AQI-NRAS,29.9714,80.6561
468447F0,GANAI GANGOLI,AWI-GGLI,29.725,79.9381
46844922,GUNJI,AQI-GNJI,30.1861,80.8525
46845486,MUNSIYARI,AIS-MNSR,30.0631,80.2383
46845A54,DUGTU,AQI-GHTU,30.245,80.5611
4684611C,JAULJIBI,AQI-JLGB,29.7539,80.3731
46840A28,KANALICHHINA,AQI-KCNA,29.6764,80.2711
4684726A,DIDIHAT,AQI-DDHT,29.8014,80.2631
268393AC,RAMNAGAR,AQI-Ramnagar,29.3948,79.1265
4680C4DE,MUSSOORIE,AQI-MSRI,30.4567,78.0647
4680CA0C,MUSSOORIE,AIS-MSRI,30.4567,78.0647
4.68E+16,DHARI,AQI-DHRI,29.3897,79.6269
46858EC6,RUDRAPUR,AQI-RUPR,28.9769,79.3928
46857090,HARIDWAR,AQI-HDWR,29.9522,78.1628
46815D94,KALAGARH,AQI-KGAR,29.4886,78.7603
46846FCE,JHULAGHAT,AWI-JLGT,29.5728,80.3831
4680D7A8,SAHASTRADHARA (HELIPAD)GIC/ITI,AWI-SDRA,30.3822,78.1311
46807750,CHAKRATA,AQI-CRTA,30.7047,77.8622
